route_id,service_id,trip_id,trip_headsign,direction_id
100,weekdays,100_0001,Vestmanna,0
100,weekdays,100_0002,Vestmanna,0
100,weekdays,100_0003,Vestmanna,0
100,weekdays,100_0004,Vestmanna,0
100,weekdays,100_0005,Vestmanna,0
100,weekdays,100_0006,Vestmanna,0
100,weekdays,100_0007,Vestmanna,0
100,weekdays,100_0008,Vestmanna,0
100,sat,100_0009,Vestmanna,0
100,sat,100_0010,Vestmanna,0
100,sat,100_0011,Vestmanna,0
100,sun,100_0012,Vestmanna,0
100,sun,100_0013,Vestmanna,0
100,sun,100_0014,Vestmanna,0
100,weekdays,100_0015,Tórshavn Terminal,1
100,weekdays,100_0016,Tórshavn Terminal,1
100,weekdays,100_0017,Tórshavn Terminal,1
100,weekdays,100_0018,Tórshavn Terminal,1
100,weekdays,100_0019,Tórshavn Terminal,1
100,weekdays,100_0020,Tórshavn Terminal,1
100,weekdays,100_0021,Tórshavn Terminal,1
100,sat,100_0022,Tórshavn Terminal,1
100,sat,100_0023,Tórshavn Terminal,1
100,sat,100_0024,Tórshavn Terminal,1
100,sun,100_0025,Tórshavn Terminal,1
100,sun,100_0026,Tórshavn Terminal,1
100,sun,100_0027,Tórshavn Terminal,1
200,weekdays,200_0001,Oyrarbakki,0
200,weekdays,200_0002,Oyrarbakki,0
200,weekdays,200_0003,Oyrarbakki,0
200,weekdays,200_0004,Oyrarbakki,0
200,weekdays,200_0005,Oyrarbakki,0
200,wed,200_0006,Oyrarbakki,0
200,weekdays,200_0007,Oyrarbakki,0
200,wed,200_0008,Oyrarbakki,0
200,weekdays,200_0009,Oyrarbakki,0
200,weekdays,200_0010,Oyrarbakki,0
200,weekdays,200_0011,Oyrarbakki,0
200,weekdays,200_0012,Oyrarbakki,0
200,weekdays,200_0013,Oyrarbakki,0
200,weekdays,200_0014,Oyrarbakki,0
200,weekdays,200_0015,Eiði,1
200,weekdays,200_0016,Eiði,1
200,weekdays,200_0017,Eiði,1
200,weekdays,200_0018,Eiði,1
200,weekdays,200_0019,Eiði,1
200,wed,200_0020,Eiði,1
200,weekdays,200_0021,Eiði,1
200,weekdays,200_0022,Eiði,1
200,weekdays,200_0023,Eiði,1
200,weekdays,200_0024,Eiði,1
200,weekdays,200_0025,Eiði,1
200,weekdays,200_0026,Eiði,1
201,school,201_0002,Gjógv,0
201,school,201_0003,Gjógv,0
201,school,201_0004,Oyrarbakki,1
201,school,201_0005,Oyrarbakki,1
201,school,201_0006,Oyrarbakki,1
201,sat,201_0007,Gjógv,0
201,school,201_0008,Gjógv,0
201,school,201_0009,Gjógv,0
201,sat,201_0010,Gjógv,0
201,school,201_0011,Gjógv,0
201,school,201_0012,Gjógv,0
201,sat,201_0013,Oyrarbakki,1
201,school,201_0014,Oyrarbakki,1
201,school,201_0015,Oyrarbakki,1
201,sat,201_0016,Oyrarbakki,1
201,school,201_0017,Oyrarbakki,1
201,school,201_0018,Oyrarbakki,1
202,school,202_0001,Oyrarbakki,0
202,school,202_0002,Oyrarbakki,0
202,school,202_0003,Oyrarbakki,0
202,school,202_0004,Oyrarbakki,0
202,school,202_0005,Oyrarbakki,0
202,school,202_0006,Oyrarbakki,0
202,school,202_0007,Oyrarbakki,0
202,school,202_0008,Tjørnuvík,1
202,school,202_0009,Tjørnuvík,1
202,school,202_0010,Tjørnuvík,1
202,school,202_0011,Tjørnuvík,1
202,school,202_0012,Tjørnuvík,1
222,weekdays,222_0001,Oyrarbakki,0
223,school,223_0001,Kambsdalur,0
300,weekdays,300_0001,Sørvágur,0
300,weekdays,300_0002,Sørvágur,0
300,weekdays,300_0003,Sørvágur,0
300,weekdays,300_0004,Sørvágur,0
300,weekdays,300_0005,Sørvágur,0
300,weekdays,300_0006,Sørvágur,0
300,weekdays,300_0007,Sørvágur,0
300,weekdays,300_0008,Sørvágur,0
300,weekdays,300_0009,Sørvágur,0
300,weekdays,300_0010,Sørvágur,0
300,sat,300_0011,Sørvágur,0
300,sat,300_0012,Sørvágur,0
300,sat,300_0013,Sørvágur,0
300,sat,300_0014,Sørvágur,0
300,sat,300_0015,Sørvágur,0
300,sun,300_0016,Sørvágur,0
300,weekdays,300_0017,Sørvágur,0
300,sun,300_0018,Sørvágur,0
300,sun,300_0019,Sørvágur,0
300,sun,300_0020,Sørvágur,0
300,weekdays,300_0021,Tórshavn Terminal,1
300,weekdays,300_0022,Tórshavn Terminal,1
300,weekdays,300_0023,Tórshavn Terminal,1
300,weekdays,300_0024,Tórshavn Terminal,1
300,weekdays,300_0025,Tórshavn Terminal,1
300,weekdays,300_0026,Tórshavn Terminal,1
300,weekdays,300_0027,Tórshavn Terminal,1
300,weekdays,300_0028,Kollafjarðadalur við Effo,1
300,sat,300_0029,Tórshavn Terminal,1
300,sat,300_0030,Tórshavn Terminal,1
300,sat,300_0031,Tórshavn Terminal,1
300,sat,300_0032,Tórshavn Terminal,1
300,sat,300_0033,Tórshavn Terminal,1
300,sun,300_0034,Tórshavn Terminal,1
300,sun,300_0035,Tórshavn Terminal,1
300,sun,300_0036,Tórshavn Terminal,1
300,sun,300_0037,Tórshavn Terminal,1
300,sun,300_0038,Tórshavn Terminal,1
350,weekdays,350_0001,Bøur,0
